id,todo,status,priority,created_at,completed_at
1,Help Robert prepare surprise party decorations for Roberta's birthday at Central Park pavilion,completed,high,2025-01-15 08:30:00,2025-01-16 14:22:15
2,Meet Isabella at Giovanni's restaurant to discuss quarterly report with Michael and Jennifer,in progress,medium,2025-01-16 09:15:00,
3,Drive Sarah and Emma to Logan Airport for their Barcelona flight with London connection,pending,high,2025-01-17 10:00:00,
4,Pick up birthday cake for Roberta from Sullivan's Bakery on Washington Street before 3pm,completed,critical,2025-01-16 07:45:00,2025-01-16 14:55:30
5,Schedule dentist appointment for Oliver at Dr. Martinez's clinic near Riverside Plaza,pending,low,2025-01-18 11:20:00,
6,Return library books for Charlotte and pick up reserved items for Lucas at Downtown Branch,completed,medium,2025-01-19 08:00:00,2025-01-19 16:30:00
7,Coordinate with Robert about transportation for Roberta's surprise guests from Hamilton Station,in progress,high,2025-01-16 12:00:00,
8,Buy organic groceries for Emma's vegan dinner party at Whole Foods on Morrison Avenue,pending,medium,2025-01-20 09:30:00,
9,Fix Isabella's laptop before her presentation with Michael at Wellington Conference Center,completed,critical,2025-01-21 06:00:00,2025-01-21 11:45:00
10,Meet Jennifer and David at Starbucks on Oak Street to finalize Peterson project proposal,pending,high,2025-01-22 14:00:00,
11,Help Charlotte move furniture from her apartment to Lucas's place on Riverside Drive,in progress,medium,2025-01-23 08:00:00,
12,Book conference room for Michael's team meeting with Isabella and Jennifer next Tuesday,completed,low,2025-01-24 10:30:00,2025-01-24 15:20:00
13,Take Oliver to soccer practice at Westfield Sports Complex and pick up Emma afterwards,pending,medium,2025-01-25 15:00:00,
14,Organize Robert's files before his meeting with Roberta about the Henderson acquisition,completed,high,2025-01-26 07:00:00,2025-01-26 09:45:00
15,Buy anniversary gift for Sarah and David at Bloomingdale's on Madison Avenue,in progress,medium,2025-01-27 11:00:00,
16,Schedule video call between Lucas in Tokyo and Charlotte in New York for project sync,pending,critical,2025-01-28 06:00:00,
17,Reserve table at Le Bernardin for Jennifer's birthday dinner with Michael and Isabella,completed,high,2025-01-29 09:00:00,2025-01-29 10:15:00
18,Drive Emma and Oliver to their grandmother's house in Winchester for the weekend,pending,low,2025-01-30 14:00:00,
19,Coordinate catering with Robert for Roberta's company event at Harbor View Hotel,in progress,critical,2025-01-31 08:30:00,
20,Help Sarah prepare presentation slides for her meeting with David and Jennifer,completed,medium,2025-02-01 10:00:00,2025-02-01 16:00:00
21,Pick up Michael's dry cleaning from Express Cleaners before his flight to Chicago,pending,medium,2025-02-02 12:00:00,
22,Meet Isabella at Central Park to discuss the Mitchell proposal over lunch with Charlotte,in progress,high,2025-02-03 11:30:00,
23,Book flights for Lucas and Emma to attend conference in San Francisco next month,completed,medium,2025-02-04 09:00:00,2025-02-04 11:30:00
24,Arrange surprise anniversary party for Robert and Roberta at Wellington Conference Center,pending,critical,2025-02-05 08:00:00,
25,Drive Oliver to his piano lesson and wait for Jennifer to pick him up afterwards,completed,low,2025-02-06 16:00:00,2025-02-06 18:30:00
26,Review contracts with Michael and send copies to Isabella at her Madison Avenue office,in progress,high,2025-02-07 09:00:00,
27,Help Charlotte organize fundraiser with Sarah at the Community Center on Elm Street,pending,medium,2025-02-08 10:00:00,
28,Meet David and Lucas for golf at Pinehurst Country Club to discuss merger plans,completed,medium,2025-02-09 07:00:00,2025-02-09 13:00:00
29,Take Emma's cat to vet appointment at Riverside Animal Hospital on Thompson Street,pending,low,2025-02-10 14:30:00,
30,Coordinate with Robert about hiring new assistant for Roberta's expanding department,in progress,high,2025-02-11 09:00:00,
31,Book hotel rooms for Jennifer and Michael's team at Marriott Downtown for conference,completed,medium,2025-02-12 10:00:00,2025-02-12 12:00:00
32,Drive Isabella to airport and pick up Oliver from Sarah's house on the way back,pending,critical,2025-02-13 05:30:00,
33,Organize birthday surprise for Lucas with Charlotte at his favorite restaurant Romano's,in progress,high,2025-02-14 11:00:00,
34,Help Emma set up her new apartment near Central Park with furniture from IKEA Brooklyn,completed,medium,2025-02-15 08:00:00,2025-02-15 19:00:00
35,Schedule quarterly review meeting for David with Jennifer and Michael at headquarters,pending,high,2025-02-16 09:00:00,
36,Take Oliver and his friends to amusement park for his birthday celebration Saturday,completed,medium,2025-02-17 10:00:00,2025-02-17 18:00:00
37,Coordinate with Isabella about catering for Roberta's book launch at Barnes & Noble,in progress,critical,2025-02-18 08:00:00,
38,Meet Charlotte and Sarah at yoga class then lunch at Green Garden Cafe afterwards,pending,low,2025-02-19 10:00:00,
39,Help Lucas move his office from Wellington Tower to new location on Park Avenue,completed,high,2025-02-20 07:00:00,2025-02-20 16:00:00
40,Book theater tickets for Emma and Michael to see Hamilton on Broadway next Friday,pending,medium,2025-02-21 09:00:00,
41,Drive Robert to his medical appointment and wait to take him to meet Roberta,in progress,high,2025-02-22 13:00:00,
42,Organize team building event for Jennifer's department at Escape Room Manhattan,completed,medium,2025-02-23 10:00:00,2025-02-23 11:30:00
43,Help David prepare tax documents with accountant at Morrison Financial Services,pending,critical,2025-02-24 08:00:00,
44,Meet Isabella and Charlotte for brunch at The Plaza to discuss charity gala plans,in progress,medium,2025-02-25 11:00:00,
45,Pick up Oliver from school and take him to Lucas's house for tutoring session,completed,low,2025-02-26 15:00:00,2025-02-26 17:00:00
46,Coordinate with Robert about security arrangements for Roberta's public speaking event,pending,high,2025-02-27 09:00:00,
47,Drive Sarah and Emma to outlet mall in New Jersey for wedding dress shopping,completed,medium,2025-02-28 09:00:00,2025-02-28 17:00:00
48,Schedule conference call between Michael in London and Jennifer in Tokyo with Isabella,in progress,critical,2025-03-01 06:00:00,
49,Help Charlotte organize her wedding registry with Lucas at Crate & Barrel downtown,pending,medium,2025-03-02 10:00:00,
50,Meet David at gym then grab protein smoothies with Oliver at Health Bar,completed,low,2025-03-03 06:00:00,2025-03-03 08:30:00
51,Reserve private dining room for Robert's retirement party surprising Roberta too,in progress,high,2025-03-04 09:00:00,
52,Take Emma's dog to grooming appointment at Pampered Paws on Madison Avenue,pending,medium,2025-03-05 14:00:00,
53,Coordinate with Isabella about press release for Michael's promotion announcement,completed,critical,2025-03-06 08:00:00,2025-03-06 10:00:00
54,Drive Jennifer and Sarah to wine tasting event at Hudson Valley Vineyard,pending,medium,2025-03-07 10:00:00,
55,Help Lucas set up home office with equipment ordered from Best Buy Union Square,in progress,medium,2025-03-08 09:00:00,
56,Meet Charlotte and Oliver at Museum of Natural History for educational field trip,completed,low,2025-03-09 10:00:00,2025-03-09 15:00:00
57,Coordinate surprise engagement party for David and Emma at Robert's country house,pending,critical,2025-03-10 08:00:00,
58,Schedule dental cleaning for Jennifer at Dr. Chen's office near Central Park West,in progress,low,2025-03-11 14:00:00,
59,Help Michael pack for business trip to Singapore with Isabella next week,completed,medium,2025-03-12 10:00:00,2025-03-12 13:00:00
